Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
2.0,3,3,0,0,3,9299.0,123
2.0,2,3,0,0,1,18499.0,86
2.0,2,3,0,0,1,17099.0,86
2.0,2,3,0,0,1,14499.0,89
1.0,3,3,0,0,1,14599.0,86
2.0,2,3,0,0,1,10390.0,36
2.0,2,0,0,0,1,11299.0,79
2.0,2,3,0,0,1,7999.0,95
2.0,1,4,0,0,3,8470.0,123
2.0,2,0,0,0,1,11499.0,123
2.0,2,4,0,0,1,11399.0,123
2.0,3,0,0,0,1,28999.0,23
2.0,3,4,0,0,3,8850.0,123
2.0,3,3,0,0,3,3999.0,111
2.0,2,3,0,0,1,14500.0,86
4.0,3,3,0,0,1,12899.0,23
2.0,3,3,0,0,3,12149.0,123
2.0,2,4,0,0,1,9060.0,123
2.0,3,3,0,0,3,9299.0,123
2.0,3,0,1,0,1,29999.0,23
2.0,3,3,0,0,1,6199.0,0
2.0,2,3,0,0,1,5895.0,92
2.0,3,4,0,0,1,8700.0,0
1.0,4,3,1,1,1,19999.0,86
2.0,2,3,0,0,1,6930.0,49
2.0,2,3,0,0,1,5999.0,28
3.0,0,3,0,0,1,5558.0,119
2.0,2,3,0,0,1,43000.0,86
2.0,0,0,0,0,1,5495.0,59
2.0,3,3,0,0,1,16519.0,86
2.0,2,3,0,0,1,7999.0,95
4.0,3,3,0,0,1,12899.0,123
2.0,3,4,0,0,1,4840.0,98
2.0,3,3,0,0,3,7299.0,47
2.0,3,3,0,0,3,8626.0,105
2.0,2,3,0,0,1,47500.0,86
2.0,2,3,0,0,1,53732.0,126
2.0,3,3,0,0,1,18999.0,79
2.0,3,3,0,0,1,11349.0,23
2.0,3,3,0,0,1,9249.0,92
2.0,2,3,0,0,1,11999.0,79
2.0,2,3,0,0,1,6999.0,64
1.0,3,0,0,0,1,8899.0,23
2.0,3,3,0,0,1,7920.0,40
2.0,2,3,0,0,1,7799.0,6
