AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vakumlu-paspas-mop-2-pro-beyaz-yeni-model-p-242734198?boutiqueId=620489&merchantId=968,9.299 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/s8-sonic-mopping-akilli-robot-supurge-s8-beyaz-p-738610666?boutiqueId=61&merchantId=107533,18.499 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/s8-sonic-robot-black-p-780960669?boutiqueId=61&merchantId=104683,17.099 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roidmi/eve-plus-akilli-cop-istasyonlu-robot-vacuum-mop-supurge-roidmi-turkiye-garantili-p-56146303?boutiqueId=620489&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjcwMjNlNjY2LTVkYzItNDVmMi1hZTVmLTBmMTEwMjU5YjEwOCIsInNvcnRpbmdTY29yZSI6MC4yMDY0MzE5NDMxNzgxNzY5LCJhZFNjb3JlIjowLjA0NjkxNjM1MDcyMjMxMjkzLCJhZFNjb3JlcyI6eyIxIjowLjA0NjkxNjM1MDcyMjMxMjkzLCIyIjowLjA0NjkxNjM1MDcyMjMxMjkzfSwiY3BjIjo0LjQsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS41NjQ4Njk5MTc2MTUyNDc5LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,14.499 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/q7-max-beyaz-akilli-robot-supurge-p-316610701?boutiqueId=61&merchantId=107492,14.599 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//fakir/robert-rs-770-akilli-robot-supurge-p-121396015?boutiqueId=61&merchantId=115591,10.390 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,0-250 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-beyaz-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-698402665?boutiqueId=61&merchantId=864025,11.299 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//simart-teknoloji/simart-katya-z-akilli-robot-supurge-p-673805588?boutiqueId=61&merchantId=790294&advertItems=eyJhZHZlcnRJZCI6Ijg3YjMzYmRkLWVlOTEtNDRkZi04MTIzLTA0N2YxY2EzN2U3ZSIsInNvcnRpbmdTY29yZSI6MC4wNzI0Nzk2NTUxNzY0MDExNSwiYWRTY29yZSI6MC4wMjE2NzQ1MzgwMzEyMjA0MzYsImFkU2NvcmVzIjp7IjEiOjAuMDIxNjc0NTM4MDMxMjIwNDM2LCIyIjowLjAyMTY3NDUzODAzMTIyMDQzNn0sImNwYyI6My4zNDQwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTU1NTAxOTczMjEwNDcyMywiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsImF0dHJpYnV0ZXMiOiIifQ==,7.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-beyaz-2022-model-p-251062592?boutiqueId=61&merchantId=427236,8.470 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,0-250 L,51 Dba - 60 Dba,Var,,Var,,Robot,2,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/robot-vacuum-s10-robot-supurge-yeni-model-2023-p-733153362?boutiqueId=61&merchantId=514600,11.499 TL
