Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Calisma_Modu_Sayisi,Ozellik,Sarjli_Kullanim_Suresi,url,price
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vakumlu-paspas-mop-2-pro-beyaz-yeni-model-p-242734198?boutiqueId=620489&merchantId=968,9299.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s8-sonic-mopping-akilli-robot-supurge-s8-beyaz-p-738610666?boutiqueId=61&merchantId=107533,18499.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s8-sonic-robot-black-p-780960669?boutiqueId=61&merchantId=104683,17099.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roidmi/eve-plus-akilli-cop-istasyonlu-robot-vacuum-mop-supurge-roidmi-turkiye-garantili-p-56146303?boutiqueId=620489&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjcwMjNlNjY2LTVkYzItNDVmMi1hZTVmLTBmMTEwMjU5YjEwOCIsInNvcnRpbmdTY29yZSI6MC4yMDY0MzE5NDMxNzgxNzY5LCJhZFNjb3JlIjowLjA0NjkxNjM1MDcyMjMxMjkzLCJhZFNjb3JlcyI6eyIxIjowLjA0NjkxNjM1MDcyMjMxMjkzLCIyIjowLjA0NjkxNjM1MDcyMjMxMjkzfSwiY3BjIjo0LjQsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS41NjQ4Njk5MTc2MTUyNDc5LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,14499.0
1 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/q7-max-beyaz-akilli-robot-supurge-p-316610701?boutiqueId=61&merchantId=107492,14599.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//fakir/robert-rs-770-akilli-robot-supurge-p-121396015?boutiqueId=61&merchantId=115591,10390.0
2,Lazer,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-beyaz-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-698402665?boutiqueId=61&merchantId=864025,11299.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//simart-teknoloji/simart-katya-z-akilli-robot-supurge-p-673805588?boutiqueId=61&merchantId=790294&advertItems=eyJhZHZlcnRJZCI6Ijg3YjMzYmRkLWVlOTEtNDRkZi04MTIzLTA0N2YxY2EzN2U3ZSIsInNvcnRpbmdTY29yZSI6MC4wNzI0Nzk2NTUxNzY0MDExNSwiYWRTY29yZSI6MC4wMjE2NzQ1MzgwMzEyMjA0MzYsImFkU2NvcmVzIjp7IjEiOjAuMDIxNjc0NTM4MDMxMjIwNDM2LCIyIjowLjAyMTY3NDUzODAzMTIyMDQzNn0sImNwYyI6My4zNDQwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTU1NTAxOTczMjEwNDcyMywiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsImF0dHJpYnV0ZXMiOiIifQ==,7999.0
2 ,Kamera ,500-1000,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-beyaz-2022-model-p-251062592?boutiqueId=61&merchantId=427236,8470.0
2,Lazer,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/robot-vacuum-s10-robot-supurge-yeni-model-2023-p-733153362?boutiqueId=61&merchantId=514600,11499.0
2,Lazer,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-p-75201218?boutiqueId=61&merchantId=200893,11399.0
2 ,Lazer ,0-250,Var,Var,2,Robot,120,https://www.trendyol.com//dreame/bot-l10-ultra-robot-supurge-p-764941685?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wNDYyODYwMjEyOTIyMDk2MywiYWRTY29yZSI6MC4wMjc2ODMwMjcwODg2NDIxMiwiYWRTY29yZXMiOnsiMSI6MC4wMjc2ODMwMjcwODg2NDIxMiwiMiI6MC4wMjc2ODMwMjcwODg2NDIxMn0sImNwYyI6MS42NzIwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuODUxNzY0MjkxMjY1OTY2NCwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjExLCJhdHRyaWJ1dGVzIjoiIn0=,28999.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-ultra-siyah-2022-model-p-251052134?boutiqueId=61&merchantId=668231,8850.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//trouver/finder-lds-sensorlu-vacuum-mop-robot-supurge-beyaz-rls3-p-71322858?boutiqueId=61&merchantId=712251,3999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/q7-max-siyah-akilli-robot-supurge-p-316611458?boutiqueId=61&merchantId=683199,14500.0
4+ ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-l10s-pro-robot-supurge-p-639417973?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wMjMwMjU3NTI1Mjk1MDE5MTgsImFkU2NvcmUiOjAuMDEzNzcxMzgzMDkxODA3MzY1LCJhZFNjb3JlcyI6eyIxIjowLjAxMzc3MTM4MzA5MTgwNzM2NSwiMiI6MC4wMTM3NzEzODMwOTE4MDczNjV9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjM4Mzk1NDMwODgwNjUxNywiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJhdHRyaWJ1dGVzIjoiIn0=,12899.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-s10t-8000pa-akilli-robot-supurge-p-458904548?boutiqueId=61&merchantId=514600,12149.0
2,Lazer,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2c-robot-supurge-yeni-versiyon-2022-p-245156705?boutiqueId=61&merchantId=872295,9060.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vakumlu-paspas-mop-2-pro-akilli-robot-supurge-siyah-yeni-model-p-242484798?boutiqueId=620489&merchantId=968,9299.0
2 ,Lazer ,0-250,Yok,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-l10s-ultra-robot-supurge-p-702177445?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wMTg3ODM1MzgxNzc2MDk0NDcsImFkU2NvcmUiOjAuMDExMjM0MTczNTUxMjAxODIsImFkU2NvcmVzIjp7IjEiOjAuMDExMjM0MTczNTUxMjAxODIsIjIiOjAuMDExMjM0MTczNTUxMjAxODJ9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjAxLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,29999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//360/360-s9-vacuum-mop-pro-cleaner-akilli-robot-supurge-p-49262589?boutiqueId=61&merchantId=106198,6199.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//samsung/vr5000rm-ince-tasarimli-robot-supurge-vr05r5050wg-p-99971567?boutiqueId=61&merchantId=327475,5895.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//360/360-s10-vacuum-mop-cleaner-akilli-robot-supurge-p-107149711?boutiqueId=61&merchantId=815646,8700.0
1 ,Yok,250-500,Yok,Yok,3,Robot,120,https://www.trendyol.com//roborock/q7-max-plus-beyaz-akilli-robot-supurge-p-316611327?boutiqueId=61&merchantId=106198,19999.0
